Steps,Car 1,Car 2,Car 3
0.500471,2.918374391,2.288699578,1.892587085
1.003925,9.586783064,7.156293838,5.691237257
1.504437,3.186956575,7.957355718,8.804716016
2.012146,-0.022332325,-0.026666667,-0.02017056
2.523749,-0.022332325,-0.026666667,-0.02017056
3.035408,-0.022332325,-0.026666667,-0.02017056
3.535662,-0.022332325,-0.026666667,-0.02017056
4.038979,-0.022332325,-0.026666667,-0.02017056
4.542702,-0.022332325,-0.026666667,-0.02017056
5.046363,-0.022332325,-0.026666667,-0.02017056
5.558089,-0.022332325,-0.026666667,-0.02017056
6.061665,-0.022332325,-0.026666667,-0.02017056
6.565862,-0.022332325,-0.026666667,-0.02017056
7.069526,-0.022332325,-0.026666667,-0.02017056
7.573189,-0.022332325,-0.026666667,-0.02017056
8.073842,-0.022332325,-0.026666667,-0.02017056
8.577169,-0.022332325,-0.026666667,-0.02017056
9.080497,-0.022332325,-0.026666667,-0.02017056
9.583991,-0.022332325,-0.026666667,-0.02017056
10.08572,-0.022332325,-0.026666667,-0.02017056
10.630058,-0.022332325,-0.026666667,-0.02017056
11.13655,-0.022332325,-0.026666667,-0.02017056
11.640216,-0.022332325,-0.026666667,-0.02017056
12.143808,-0.022332325,-0.026666667,-0.02017056
12.644893,-0.022332325,-0.026666667,-0.02017056
13.146529,-0.022332325,-0.026666667,-0.02017056
13.650438,-0.022332325,-0.026666667,-0.02017056
14.598727,-0.022332325,-0.026666667,-0.02017056
15.100343,-0.022332325,-0.026666667,-0.02017056
15.608515,-0.022332325,-0.026666667,-0.02017056
16.110468,-0.022332325,-0.026666667,-0.02017056
16.613935,-0.022332325,-0.026666667,-0.02017056
17.121347,-0.022332325,-0.026666667,-0.02017056
17.624935,-0.022332325,-0.026666667,-0.02017056
18.128845,-0.022332325,-0.026666667,-0.02017056
Steps,Car 1,Car 2,Car 3
0.504316,3.082736752,2.413296642,1.99247563
1.007977,10.15443039,7.562228278,6.002857997
1.513792,18.88108769,13.85486404,10.83372935
2.017728,22.41520533,19.76997773,15.77386913
2.521188,4.199290905,14.34615103,17.07931373
3.024451,-0.024115448,-0.026666667,6.292963526
3.527442,-0.024115448,-0.026666667,-0.026666667
4.035714,-0.024115448,-0.026666667,-0.026666667
4.539015,-0.024115448,-0.026666667,-0.026666667
5.042678,-0.024115448,-0.026666667,-0.026666667
5.546175,-0.024115448,-0.026666667,-0.026666667
6.049765,-0.024115448,-0.026666667,-0.026666667
6.553429,-0.024115448,-0.026666667,-0.026666667
7.056882,-0.024115448,-0.026666667,-0.026666667
7.564198,-0.024115448,-0.026666667,-0.026666667
8.067739,-0.024115448,-0.026666667,-0.026666667
8.571011,-0.024115448,-0.026666667,-0.026666667
9.071248,-0.024115448,-0.026666667,-0.026666667
9.574911,-0.024115448,-0.026666667,-0.026666667
10.078142,-0.024115448,-0.026666667,-0.026666667
10.582042,-0.024115448,-0.026666667,-0.026666667
11.085481,-0.024115448,-0.026666667,-0.026666667
11.589191,-0.024115448,-0.026666667,-0.026666667
12.092109,-0.024115448,-0.026666667,-0.026666667
12.595658,-0.024115448,-0.026666667,-0.026666667
13.097464,-0.024115448,-0.026666667,-0.026666667
13.600639,-0.024115448,-0.026666667,-0.026666667
14.103908,-0.024115448,-0.026666667,-0.026666667
